"0","1","model_type","df_name","crime_category"
"0.98","0.85","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.98","0.82","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_10_Sexual Assault"
"0.99","0.43","SVM_PRECISION","mydtm_sparse_0.98","code_11_Police Brutality"
"1","0.2","SVM_RECALL","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","0.27","SVM_FSCORE","mydtm_sparse_0.98","code_11_Police Brutality"
"0.98","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_11_Police Brutality"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","0.33","GLMNET_PRECISION","mydtm_sparse_0.98","code_11_Police Brutality"
"1","0.13","GLMNET_RECALL","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","0.19","GLMNET_FSCORE","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","0.15","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","0.13","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_11_Police Brutality"
"0.99","0.14","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_11_Police Brutality"
"0.98","0.7","SVM_PRECISION","mydtm_sparse_0.98","code_12_Police Misconduct"
"1","0.23","SVM_RECALL","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.99","0.35","SVM_FSCORE","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.97","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_12_Police Misconduct"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.98","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.97","1","GLMNET_PRECISION","mydtm_sparse_0.98","code_12_Police Misconduct"
"1","0.1","GLMNET_RECALL","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.98","0.18","GLMNET_FSCORE","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.98","0.38","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.98","0.3","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.98","0.34","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_12_Police Misconduct"
"0.9","0.92","SVM_PRECISION","mydtm_sparse_0.98","code_13_Gun Violence"
"0.96","0.81","SVM_RECALL","mydtm_sparse_0.98","code_13_Gun Violence"
"0.93","0.86","SVM_FSCORE","mydtm_sparse_0.98","code_13_Gun Violence"
"0.91","0.95","FORESTS_PRECISION","mydtm_sparse_0.98","code_13_Gun Violence"
"0.97","0.83","FORESTS_RECALL","mydtm_sparse_0.98","code_13_Gun Violence"
"0.94","0.89","FORESTS_FSCORE","mydtm_sparse_0.98","code_13_Gun Violence"
"0.89","0.95","GLMNET_PRECISION","mydtm_sparse_0.98","code_13_Gun Violence"
"0.98","0.78","GLMNET_RECALL","mydtm_sparse_0.98","code_13_Gun Violence"
"0.93","0.86","GLMNET_FSCORE","mydtm_sparse_0.98","code_13_Gun Violence"
"0.9","0.84","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_13_Gun Violence"
"0.91","0.82","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_13_Gun Violence"
"0.9","0.83","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_13_Gun Violence"
"0.97","0.6","SVM_PRECISION","mydtm_sparse_0.98","code_14_GLBTQ"
"1","0.1","SVM_RECALL","mydtm_sparse_0.98","code_14_GLBTQ"
"0.98","0.17","SVM_FSCORE","mydtm_sparse_0.98","code_14_GLBTQ"
"0.97","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_14_GLBTQ"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_14_GLBTQ"
"0.98","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_14_GLBTQ"
"0.97","NaN","GLMNET_PRECISION","mydtm_sparse_0.98","code_14_GLBTQ"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_14_GLBTQ"
"0.98","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_14_GLBTQ"
"0.98","0.58","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_14_GLBTQ"
"0.99","0.24","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_14_GLBTQ"
"0.98","0.34","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_14_GLBTQ"
"0.89","0.65","SVM_PRECISION","mydtm_sparse_0.98","code_15_Juvenile"
"0.99","0.09","SVM_RECALL","mydtm_sparse_0.98","code_15_Juvenile"
"0.94","0.16","SVM_FSCORE","mydtm_sparse_0.98","code_15_Juvenile"
"0.88","0.5","FORESTS_PRECISION","mydtm_sparse_0.98","code_15_Juvenile"
"1","0.01","FORESTS_RECALL","mydtm_sparse_0.98","code_15_Juvenile"
"0.94","0.02","FORESTS_FSCORE","mydtm_sparse_0.98","code_15_Juvenile"
"0.89","0.71","GLMNET_PRECISION","mydtm_sparse_0.98","code_15_Juvenile"
"0.99","0.1","GLMNET_RECALL","mydtm_sparse_0.98","code_15_Juvenile"
"0.94","0.18","GLMNET_FSCORE","mydtm_sparse_0.98","code_15_Juvenile"
"0.91","0.36","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_15_Juvenile"
"0.92","0.32","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_15_Juvenile"
"0.91","0.34","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_15_Juvenile"
"1","NaN","SVM_PRECISION","mydtm_sparse_0.98","code_16_Re-Entry"
"1","0","SVM_RECALL","mydtm_sparse_0.98","code_16_Re-Entry"
"1","NaN","SVM_FSCORE","mydtm_sparse_0.98","code_16_Re-Entry"
"1","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_16_Re-Entry"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_16_Re-Entry"
"1","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_16_Re-Entry"
"1","NaN","GLMNET_PRECISION","mydtm_sparse_0.98","code_16_Re-Entry"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_16_Re-Entry"
"1","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_16_Re-Entry"
"0.99","0","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_16_Re-Entry"
"1","0","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_16_Re-Entry"
"0.99","NaN","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_16_Re-Entry"
"0.7","0.61","SVM_PRECISION","mydtm_sparse_0.98","code_17_Violence"
"0.78","0.5","SVM_RECALL","mydtm_sparse_0.98","code_17_Violence"
"0.74","0.55","SVM_FSCORE","mydtm_sparse_0.98","code_17_Violence"
"0.73","0.65","FORESTS_PRECISION","mydtm_sparse_0.98","code_17_Violence"
"0.79","0.57","FORESTS_RECALL","mydtm_sparse_0.98","code_17_Violence"
"0.76","0.61","FORESTS_FSCORE","mydtm_sparse_0.98","code_17_Violence"
"0.67","0.67","GLMNET_PRECISION","mydtm_sparse_0.98","code_17_Violence"
"0.87","0.38","GLMNET_RECALL","mydtm_sparse_0.98","code_17_Violence"
"0.76","0.48","GLMNET_FSCORE","mydtm_sparse_0.98","code_17_Violence"
"0.69","0.53","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_17_Violence"
"0.68","0.55","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_17_Violence"
"0.68","0.54","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_17_Violence"
"0.99","NaN","SVM_PRECISION","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"1","0","SVM_RECALL","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","NaN","SVM_FSCORE","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","NaN","GLMNET_PRECISION","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","0.33","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"1","0.12","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","0.18","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_18_Beat Realignment / Police Resouce Allocation"
"0.99","0","SVM_PRECISION","mydtm_sparse_0.98","code_19_Probation"
"1","0","SVM_RECALL","mydtm_sparse_0.98","code_19_Probation"
"0.99","NaN","SVM_FSCORE","mydtm_sparse_0.98","code_19_Probation"
"0.99","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_19_Probation"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_19_Probation"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_19_Probation"
"0.99","0","GLMNET_PRECISION","mydtm_sparse_0.98","code_19_Probation"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_19_Probation"
"0.99","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_19_Probation"
"0.99","0.25","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_19_Probation"
"1","0.11","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_19_Probation"
"0.99","0.15","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_19_Probation"
"0.99","NaN","SVM_PRECISION","mydtm_sparse_0.98","code_20_Parole"
"1","0","SVM_RECALL","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","SVM_FSCORE","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_20_Parole"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","FORESTS_FSCORE","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","GLMNET_PRECISION","mydtm_sparse_0.98","code_20_Parole"
"1","0","GLMNET_RECALL","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","GLMNET_FSCORE","mydtm_sparse_0.98","code_20_Parole"
"0.99","0","MAXENTROPY_PRECISION","mydtm_sparse_0.98","code_20_Parole"
"1","0","MAXENTROPY_RECALL","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","MAXENTROPY_FSCORE","mydtm_sparse_0.98","code_20_Parole"
"0.99","NaN","SVM_PRECISION","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"1","0","SVM_RECALL","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.99","NaN","SVM_FSCORE","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"0.99","NaN","FORESTS_PRECISION","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
"1","0","FORESTS_RECALL","mydtm_sparse_0.98","code_21_Criminal Justice Policy"
