122978,7900 block of South Kenwood Avenue. The,,,550265
122979,"4300 block of South Prairie Avenue,",,,550265
122980,Heights. The,,,550265
122981,1000 block of West 93rd Street,,,550265
122982,4700 block of South Michigan Avenue,,,550265
122983,Boulevard,,,550265
122984,1200 block of South Morgan Street,,,550265
122985,University Village,,,550265
122986,West Englewood,,,550265
122987,Saturday. The,,,550265
122988,1200 block of 72nd Place,,,550265
122989,1100 block of North Central Avenue,,,550265
122990,West Side,,,550265
122991,4700 block of West Adams Street,,,550265
122992,Austin,,,550265
122993,"West Side,",,,550265
124507,Antioch,,,552239
125475,"Jefferson Park neighborhood, White",,,553499
125476,4800 block of North,,,553499
125477,3000 block of West Ainslie Avenue,,,553499
126817,north,,,555024
128830,Commons South,,,556943
128831,700 S. Halsted,,,556943
128832,block of West Washburne,,,556943
129366,"1400 block of South Canal Street,",,,557655
129367,6800 block of South Marshfield Avenue. Someone,,,557655
131913,Academy Awards,,,560882
132491,block E.,,,561913
135653,Shore Drive,,,568363
135654,"Harvey,",,,568363
135925,"4th District,” McCarthy explained.",,,568781
135926,States. There,,,568781
137082,"6200 block of Rhodes. Saturday, March",,,570744
137083,Side Saturday morning. While,,,570744
137084,6200 block of South Rhodes Avenue,,,570744
137085,and Rhodes,,,570744
137086,Contributing: Sun-Times Media Wire,,,570744
137714,South Side Avalon Park,,,571788
137715,7600 block of South,,,571788
137716,8400 block of South Bennett Avenue,,,571788
138736,West Woodlawn neighborhood,,,573356
138737,South Side,,,573356
138738,South Shore neighborhood Friday,,,573356
138739,Washington Park,,,573356
138740,3000 block of West 53rd Place,,,573356
138741,Gage Park,,,573356
138742,Southwest Side. The,,,573356
138743,block of South,,,573356
138744,6000 block of South Indiana Avenue,,,573356
138745,Washington Park,,,573356
138746,"South Side,",,,573356
138747,Both,,,573356
138748,5400 block of West Diversey Avenue,,,573356
138749,Cragin,,,573356
138750,Northwest Side. He,,,573356
138751,1500 block of West 18th Place,,,573356
138752,Pilsen,,,573356
138753,intersection of Grand and,,,573356
138754,avenues,,,573356
138755,Humboldt Park,,,573356
138756,"West Side,",,,573356
138757,3800 block of West,,,573356
138758,10000 block of South Crandon Avenue,,,573356
138759,South Deering,,,573356
138760,South Side. A,,,573356
138761,4900 block of West Hubbard Avenue,,,573356
138762,South Austin,,,573356
138763,5900 block of South Halsted Street,,,573356
138764,intersection of North,,,573356
138765,"0-100 block of North Pulaski Road, north of Madison",,,573356
138766,Side.,,,573356
138767,"4500 block of South Champlain Avenue,",,,573356
138768,5200 block of West Wellington Avenue,,,573356
138769,400 block of West 126th Street,,,573356
138770,West Pullman,,,573356
138771,Street and Talman Avenue,,,573356
138977,View,,,573642
140373,Forest,,,575435
142209,West Side. Austin District,,,578178
142210,5400 block of West Madison,,,578178
142211,One of,,,578178
144255,Illinois apartment. Jurors,,,580969
144256,south,,,580969
144257,"City, Illinois,",,,580969
150535,Far South Side,,,590731
150536,Carpenter Street,,,590731
150537,113th Place,,,590731
150538,"leg,",,,590731
152426,Most,,,593584
152427,Northwest Side Albany Park neighborhood.,,,593584
